time;temp
26400;-0.23
26460;-0.44
26520;-0.34
26580;-0.67
26640;-0.47
26700;-0.34
26760;-0.24
26820;-0.44
26880;-0.43
26940;-0.36
27000;-0.32
27060;-0.32
27120;-0.17
27180;-0.06
27240;-0.11
27300;-0.29
27360;-0.2
27420;-0.24
27480;-0.21
27540;-0.12
27600;-0.28
27660;-0.36
27720;-0.29
27780;-0.33
27840;-0.25
27900;-0.2
27960;-0.41
28020;-0.42
28080;-0.24
28140;-0.26
28200;-0.12
28260;-0.24
28320;-0.27
28380;-0.36
28440;-0.3
28500;-0.26
28560;-0.22
28620;-0.27
28680;-0.26
28740;-0.47
28800;-0.05
28860;-0.18
28920;-0.23
28980;-0.3
29040;-0.3
29100;-0.27
29160;-0.14
29220;-0.26
29280;-0.19
29340;-0.03
29400;-0.14
29460;-0.18
29520;-0.33
29580;-0.44
29640;-0.15
29700;-0.23
29760;-0.33
29820;-0.3
29880;-0.27
29940;-0.33
30000;-0.36
30060;-0.33
30120;-0.15
30180;-0.19
30240;-0.28
30300;-0.39
30360;-0.34
30420;-0.4
30480;-0.33
30540;-0.29
30600;-0.31
30660;-0.33
30720;-0.31
30780;-0.13
30840;-0.02
30900;-0.04
30960;-0.23
31020;-0.24
31080;-0.08
31140;-0.31
31200;-0.18
31260;-0.26
31320;-0.29
31380;-0.36
31440;-0.32
31500;-0.35
31560;-0.21
31620;-0.43
31680;-0.39
31740;-0.4
31800;-0.27
31860;-0.25
31920;-0.29
31980;-0.32
32040;-0.26
32100;-0.2
32160;-0.19
32220;-0.17
32280;0.05
32340;0.06
32400;0.2
32460;0.03
32520;0.11
32580;-0.12
32640;-0.23
32700;-0.26
32760;-0.27
32820;-0.14
32880;-0.15
32940;-0.12
33000;-0.06
33060;-0.29
33120;-0.27
33180;-0.18
33240;-0.38
33300;-0.3
33360;-0.25
33420;-0.27
33480;-0.18
33540;-0.24
33600;-0.13
33660;-0.01
33720;-0.05
33780;-0.33
33840;-0.02
33900;-0.09
33960;-0.25
34020;-0.27
34080;-0.3
34140;-0.38
34200;-0.19
34260;-0.22
34320;-0.21
34380;-0.19
34440;-0.09
34500;-0.16
34560;-0.45
34620;-0.58
34680;-0.33
34740;-0.41
34800;-0.38
34860;-0.44
34920;-0.37
34980;-0.32
35040;-0.25
35100;-0.14
35160;-0.11
35220;-0.54
35280;-0.29
35340;-0.27
35400;-0.11
35460;-0.25
35520;-0.24
35580;-0.22
35640;-0.21
35700;-0.15
35760;-0.16
35820;-0.12
35880;0.17
35940;-0.06
36000;-0.1
36060;-0.21
36120;-0.1
36180;-0.22
36240;-0.19
36300;-0.08
36360;-0.03
36420;-0.04
36480;-0.07
36540;0.05
36600;-0.06
36660;-0.05
36720;0.16
36780;-0.17
36840;-0.17
36900;-0.05
36960;-0.17
37020;-0.28
37080;-0.24
37140;-0.22
37200;-0.1
37260;-0.08
37320;-0.27
37380;-0.26
